# decaysolver — bibliothèque de nucléides
# source: ICRP Publication 107, Nuclear Decay Data for Dosimetric Calculations (2008),
#         Copyright (c) 2008 A. Endo and K.F. Eckerman ; licence : data/LICENSE.ICRP-07
# extraction: paquet radioactivedecay 0.6.1, jeu 'icrp107_ame2020_nubase2020'
# script: data/scripts/extract_icrp107.py ; date UTC: 2026-09-05
# contenu: bibliothèque complète, 1512 nucléides du jeu ICRP-107 redistribué
#          (--full)
# demi-vies: valeur et unité d'origine ICRP-107 (s, m, h, d, y) ; aucune conversion ici.
#            decaysolver convertit avec 1 y = 365,25 j (année julienne) ;
#            radioactivedecay utilise 365,2422 j : écart relatif 2e-5, à garder en tête
#            lors de l'évaluation croisée.
# incertitudes: ICRP-107 n'en fournit pas ; voir data/PROVENANCE.md.
# fission spontanée (SF): voie conservée avec fille vide, produits de fission non suivis.
# voies rétablies (absentes du jeu radioactivedecay, voir le script) : At-219 β- vers Rn-219, At-217 β- vers Rn-217
# écarts |somme des rapports - 1| > 1e-5, dus aux arrondis indépendants d'ICRP-107 :
#     Am-244m: -4.0e-04
#     Np-236: -4.0e-04
#     Tb-151: +9.5e-05
#     Dy-153: +9.4e-05
#     Ac-226: +6.0e-05
#     Fr-223: +6.0e-05
#     Es-255: +4.5e-05
#     Pu-237: +4.2e-05
#     U-231: +4.0e-05
#     Pa-230: +3.2e-05
#     Ag-115: -3.0e-05
#     Au-187: +3.0e-05
#     Pa-232: +3.0e-05
#     Hf-182m: -2.0e-05
#     Pt-184: +1.7e-05
#     Bk-249: +1.5e-05
#     Ho-154m: +1.0e-05
#     Np-233: +1.0e-05
# voies non répertoriées (déficit de somme > 5e-4 dans le jeu redistribué, fille
#   inconnue, noyaux sortant du système) : 
#     U-228: 2.5e-02
#     Es-254m: 1.6e-02
#     Es-250: 1.5e-02
#     Ac-223: 1.0e-02
#     Cm-240: 3.0e-03
#     Po-212m: 7.0e-04
#     Po-205: 6.0e-04
# une ligne par voie de décroissance ; les stables ont une seule ligne 'stable'.
nuclide;half_life_value;half_life_unit;mode;daughter;branching_fraction
Sm-144;stable;;stable;;
Sm-145;340;d;beta+/EC;Pm-145;1
Sm-146;103000000;y;alpha;Nd-142;1
Sm-147;1.06e+11;y;alpha;Nd-143;1
Sm-148;7e+15;y;alpha;Nd-144;1
Sm-149;stable;;stable;;
Sm-150;stable;;stable;;
Sm-151;90;y;beta-;Eu-151;1
Sm-152;stable;;stable;;
Sm-153;46.5;h;beta-;Eu-153;1
Sm-154;stable;;stable;;
Sm-155;22.3;m;beta-;Eu-155;1
Sm-156;9.4;h;beta-;Eu-156;1
Sm-157;8.03;m;beta-;Eu-157;1
Sn-106;1.92;m;beta+/EC;In-106m;1
Sn-108;10.3;m;beta+/EC;In-108m;1
Sn-109;18;m;beta+/EC;In-109;0.71734
Sn-109;18;m;beta+/EC;In-109m;0.28266
Sn-110;4.11;h;beta+/EC;In-110m;1
Sn-111;35.3;m;beta+/EC;In-111;0.99793
Sn-111;35.3;m;beta+/EC;In-111m;0.0020745
Sn-112;stable;;stable;;
Sn-113;115.09;d;beta+/EC;In-113m;0.99998
Sn-113;115.09;d;beta+/EC;In-113;2.2352e-05
Sn-113m;21.4;m;IT;Sn-113;0.911
Sn-113m;21.4;m;beta+/EC;In-113;0.089
Sn-114;stable;;stable;;
Sn-115;stable;;stable;;
Sn-116;stable;;stable;;
Sn-117;stable;;stable;;
Sn-117m;13.76;d;IT;Sn-117;1
Sn-118;stable;;stable;;
Sn-119;stable;;stable;;
Sn-119m;293.1;d;IT;Sn-119;1
Sn-120;stable;;stable;;
Sn-121;27.03;h;beta-;Sb-121;1
Sn-121m;43.9;y;IT;Sn-121;0.776
Sn-121m;43.9;y;beta-;Sb-121;0.224
Sn-122;stable;;stable;;
Sn-123;129.2;d;beta-;Sb-123;1
Sn-123m;40.06;m;beta-;Sb-123;1
Sn-124;stable;;stable;;
Sn-125;9.64;d;beta-;Sb-125;1
Sn-125m;9.52;m;beta-;Sb-125;1
Sn-126;230000;y;beta-;Sb-126m;1
Sn-127;2.1;h;beta-;Sb-127;1
Sn-127m;4.13;m;beta-;Sb-127;1
Sn-128;59.07;m;beta-;Sb-128m;1
Sn-129;2.23;m;beta-;Sb-129;1
Sn-130;3.72;m;beta-;Sb-130m;1
Sn-130m;1.7;m;beta-;Sb-130;0.86005
Sn-130m;1.7;m;beta-;Sb-130m;0.13995
Sr-79;2.25;m;beta+/EC;Rb-79;1
Sr-80;106.3;m;beta+/EC;Rb-80;1
Sr-81;22.3;m;beta+/EC;Rb-81;0.99856
Sr-81;22.3;m;beta+/EC;Rb-81m;0.0014422
Sr-82;25.36;d;beta+/EC;Rb-82;1
Sr-83;32.41;h;beta+/EC;Rb-83;1
Sr-84;stable;;stable;;
Sr-85;64.84;d;beta+/EC;Rb-85;1
Sr-85m;67.63;m;IT;Sr-85;0.866
Sr-85m;67.63;m;beta+/EC;Rb-85;0.134
Sr-86;stable;;stable;;
Sr-87;stable;;stable;;
Sr-87m;2.815;h;IT;Sr-87;0.997
Sr-87m;2.815;h;beta+/EC;Rb-87;0.003
Sr-88;stable;;stable;;
Sr-89;50.53;d;beta-;Y-89;1
Sr-90;28.79;y;beta-;Y-90;1
Sr-91;9.63;h;beta-;Y-91m;0.58247
Sr-91;9.63;h;beta-;Y-91;0.41753
Sr-92;2.66;h;beta-;Y-92;1
Sr-93;7.423;m;beta-;Y-93;1
Sr-94;75.3;s;beta-;Y-94;1
Ta-170;6.76;m;beta+/EC;Hf-170;1
Ta-172;36.8;m;beta+/EC;Hf-172;1
Ta-173;3.14;h;beta+/EC;Hf-173;1
Ta-174;1.14;h;beta+/EC;Hf-174;1
Ta-175;10.5;h;beta+/EC;Hf-175;1
Ta-176;8.09;h;beta+/EC;Hf-176;1
Ta-177;56.56;h;beta+/EC;Hf-177;1
Ta-178;9.31;m;beta+/EC;Hf-178;1
Ta-178m;2.36;h;beta+/EC;Hf-178;1
Ta-179;1.82;y;beta+/EC;Hf-179;1
Ta-180;8.152;h;beta+/EC;Hf-180;0.86
Ta-180;8.152;h;beta-;W-180;0.14
Ta-180m;stable;;stable;;
Ta-181;stable;;stable;;
Ta-182;114.43;d;beta-;W-182;1
Ta-182m;15.84;m;IT;Ta-182;1
Ta-183;5.1;d;beta-;W-183;1
Ta-184;8.7;h;beta-;W-184;1
Ta-185;49.4;m;beta-;W-185;1
Ta-186;10.5;m;beta-;W-186;1
Tb-146;23;s;beta+/EC;Gd-146;1
Tb-147;1.64;h;beta+/EC;Gd-147;1
Tb-147m;1.87;m;beta+/EC;Gd-147;1
Tb-148;60;m;beta+/EC;Gd-148;1
Tb-148m;2.2;m;beta+/EC;Gd-148;1
Tb-149;4.118;h;beta+/EC;Gd-149;0.833
Tb-149;4.118;h;alpha;Eu-145;0.167
Tb-149m;4.16;m;beta+/EC;Gd-149;0.99978
Tb-149m;4.16;m;alpha;Eu-145;0.00022
Tb-150;3.48;h;beta+/EC;Gd-150;1
Tb-150;3.48;h;alpha;Eu-146;7e-06
Tb-150m;5.8;m;beta+/EC;Gd-150;1
Tb-151;17.609;h;beta+/EC;Gd-151;1
Tb-151;17.609;h;alpha;Eu-147;9.5e-05
Tb-151m;25;s;IT;Tb-151;0.934
Tb-151m;25;s;beta+/EC;Gd-151;0.066
Tb-152;17.5;h;beta+/EC;Gd-152;1
Tb-152m;4.2;m;IT;Tb-152;0.788
Tb-152m;4.2;m;beta+/EC;Gd-152;0.212
Tb-153;2.34;d;beta+/EC;Gd-153;1
Tb-154;21.5;h;beta+/EC;Gd-154;1
Tb-155;5.32;d;beta+/EC;Gd-155;1
Tb-156;5.35;d;beta+/EC;Gd-156;1
Tb-156m;24.4;h;IT;Tb-156;1
Tb-156n;5.3;h;IT;Tb-156;1
Tb-157;71;y;beta+/EC;Gd-157;1
Tb-158;180;y;beta+/EC;Gd-158;0.834
Tb-158;180;y;beta-;Dy-158;0.166
Tb-159;stable;;stable;;
Tb-160;72.3;d;beta-;Dy-160;1
Tb-161;6.906;d;beta-;Dy-161;1
Tb-162;7.6;m;beta-;Dy-162;1
Tb-163;19.5;m;beta-;Dy-163;1
Tb-164;3;m;beta-;Dy-164;1
Tb-165;2.11;m;beta-;Dy-165m;0.89028
Tb-165;2.11;m;beta-;Dy-165;0.10972
Tc-101;14.2;m;beta-;Ru-101;1
Tc-102;5.28;s;beta-;Ru-102;1
Tc-102m;4.35;m;beta-;Ru-102;0.98
Tc-102m;4.35;m;IT;Tc-102;0.02
Tc-104;18.3;m;beta-;Ru-104;1
Tc-105;7.6;m;beta-;Ru-105;1
Tc-91;3.14;m;beta+/EC;Mo-91;0.99302
Tc-91;3.14;m;beta+/EC;Mo-91m;0.0069789
Tc-91m;3.3;m;beta+/EC;Mo-91m;0.97976
Tc-91m;3.3;m;beta+/EC;Mo-91;0.020245
Tc-92;4.25;m;beta+/EC;Mo-92;1
Tc-93;2.75;h;beta+/EC;Mo-93;1
Tc-93m;43.5;m;IT;Tc-93;0.766
Tc-93m;43.5;m;beta+/EC;Mo-93;0.234
Tc-94;293;m;beta+/EC;Mo-94;1
Tc-94m;52;m;beta+/EC;Mo-94;1
Tc-95;20;h;beta+/EC;Mo-95;1
Tc-95m;61;d;beta+/EC;Mo-95;0.9612
Tc-95m;61;d;IT;Tc-95;0.0388
Tc-96;4.28;d;beta+/EC;Mo-96;1
Tc-96m;51.5;m;IT;Tc-96;0.98
Tc-96m;51.5;m;beta+/EC;Mo-96;0.02
Tc-97;2600000;y;beta+/EC;Mo-97;1
Tc-97m;90.1;d;IT;Tc-97;1
Tc-98;4200000;y;beta-;Ru-98;1
Tc-99;211100;y;beta-;Ru-99;1
Tc-99m;6.015;h;IT;Tc-99;0.99996
Tc-99m;6.015;h;beta-;Ru-99;3.7e-05
Te-113;1.7;m;beta+/EC;Sb-113;1
Te-114;15.2;m;beta+/EC;Sb-114;1
Te-115;5.8;m;beta+/EC;Sb-115;1
Te-115m;6.7;m;beta+/EC;Sb-115;1
Te-116;2.49;h;beta+/EC;Sb-116;1
Te-117;62;m;beta+/EC;Sb-117;1
Te-118;6;d;beta+/EC;Sb-118;1
Te-119;16.05;h;beta+/EC;Sb-119;1
Te-119m;4.7;d;beta+/EC;Sb-119;1
Te-120;stable;;stable;;
Te-121;19.16;d;beta+/EC;Sb-121;1
Te-121m;154;d;IT;Te-121;0.886
Te-121m;154;d;beta+/EC;Sb-121;0.114
Te-122;stable;;stable;;
Te-123;6e+14;y;beta+/EC;Sb-123;1
Te-123m;119.25;d;IT;Te-123;1
Te-124;stable;;stable;;
Te-125;stable;;stable;;
Te-125m;57.4;d;IT;Te-125;1
Te-126;stable;;stable;;
Te-127;9.35;h;beta-;I-127;1
Te-127m;109;d;IT;Te-127;0.976
Te-127m;109;d;beta-;I-127;0.024
Te-128;stable;;stable;;
Te-129;69.6;m;beta-;I-129;1
Te-129m;33.6;d;IT;Te-129;0.63
Te-129m;33.6;d;beta-;I-129;0.37
Te-130;stable;;stable;;
Te-131;25;m;beta-;I-131;1
Te-131m;30;h;beta-;I-131;0.778
Te-131m;30;h;IT;Te-131;0.222
Te-132;3.204;d;beta-;I-132;1
Te-133;12.5;m;beta-;I-133;1
Te-133m;55.4;m;beta-;I-133;0.825
Te-133m;55.4;m;IT;Te-133;0.175
Te-134;41.8;m;beta-;I-134;1
Th-223;0.6;s;alpha;Ra-219;1
Th-224;1.05;s;alpha;Ra-220;1
Th-226;30.57;m;alpha;Ra-222;1
Th-227;18.68;d;alpha;Ra-223;1
Th-228;1.9116;y;alpha;Ra-224;1
Th-229;7340;y;alpha;Ra-225;1
Th-230;75380;y;alpha;Ra-226;1
Th-231;25.52;h;beta-;Pa-231;1
Th-232;1.405e+10;y;alpha;Ra-228;1
Th-233;22.3;m;beta-;Pa-233;1
Th-234;24.1;d;beta-;Pa-234m;1
Th-235;7.1;m;beta-;Pa-235;1
Th-236;37.5;m;beta-;Pa-236;1
Ti-44;60;y;beta+/EC;Sc-44;1
Ti-45;184.8;m;beta+/EC;Sc-45;1
Ti-46;stable;;stable;;
Ti-47;stable;;stable;;
Ti-48;stable;;stable;;
Ti-49;stable;;stable;;
Ti-50;stable;;stable;;
Ti-51;5.76;m;beta-;V-51;1
Ti-52;1.7;m;beta-;V-52;1
Tl-190;2.6;m;beta+/EC;Hg-190;1
Tl-190m;3.7;m;beta+/EC;Hg-190;1
Tl-194;33;m;beta+/EC;Hg-194;1
Tl-194m;32.8;m;beta+/EC;Hg-194;1
Tl-195;1.16;h;beta+/EC;Hg-195;0.99656
Tl-195;1.16;h;beta+/EC;Hg-195m;0.0034358
Tl-196;1.84;h;beta+/EC;Hg-196;1
Tl-197;2.84;h;beta+/EC;Hg-197;1
Tl-198;5.3;h;beta+/EC;Hg-198;1
Tl-198m;1.87;h;beta+/EC;Hg-198;0.54
Tl-198m;1.87;h;IT;Tl-198;0.46
Tl-199;7.42;h;beta+/EC;Hg-199;1
Tl-200;26.1;h;beta+/EC;Hg-200;1
Tl-201;72.912;h;beta+/EC;Hg-201;1
Tl-202;12.23;d;beta+/EC;Hg-202;1
Tl-203;stable;;stable;;
Tl-204;3.78;y;beta-;Pb-204;0.971
Tl-204;3.78;y;beta+/EC;Hg-204;0.029
Tl-205;stable;;stable;;
Tl-206;4.2;m;beta-;Pb-206;1
Tl-206m;3.74;m;IT;Tl-206;1
Tl-207;4.77;m;beta-;Pb-207;1
Tl-208;3.053;m;beta-;Pb-208;1
Tl-209;2.161;m;beta-;Pb-209;1
Tl-210;1.3;m;beta-;Pb-210;1
Tm-161;30.2;m;beta+/EC;Er-161;1
Tm-162;21.7;m;beta+/EC;Er-162;1
Tm-163;1.81;h;beta+/EC;Er-163;1
Tm-164;2;m;beta+/EC;Er-164;1
Tm-165;30.06;h;beta+/EC;Er-165;1
Tm-166;7.7;h;beta+/EC;Er-166;1
Tm-167;9.25;d;beta+/EC;Er-167;1
Tm-168;93.1;d;beta+/EC;Er-168;0.9999
Tm-168;93.1;d;beta-;Yb-168;0.0001
Tm-169;stable;;stable;;
Tm-170;128.6;d;beta-;Yb-170;0.99869
Tm-170;128.6;d;beta+/EC;Er-170;0.00131
Tm-171;1.92;y;beta-;Yb-171;1
Tm-172;63.6;h;beta-;Yb-172;1
Tm-173;8.24;h;beta-;Yb-173;1
Tm-174;5.4;m;beta-;Yb-174;1
Tm-175;15.2;m;beta-;Yb-175;1
Tm-176;1.85;m;beta-;Yb-176;1
U-227;1.1;m;alpha;Th-223;1
U-228;9.1;m;alpha;Th-224;0.975
U-228;9.1;m;unlisted;;0.025
U-230;20.8;d;alpha;Th-226;1
U-231;4.2;d;beta+/EC;Pa-231;1
U-231;4.2;d;alpha;Th-227;4e-05
U-232;68.9;y;alpha;Th-228;1
U-233;159200;y;alpha;Th-229;1
U-234;245500;y;alpha;Th-230;1
U-235;704000000;y;alpha;Th-231;1
U-235m;26;m;IT;U-235;1
U-236;23420000;y;alpha;Th-232;1
U-237;6.75;d;beta-;Np-237;1
U-238;4468000000;y;alpha;Th-234;1
U-238;4468000000;y;SF;;5.45e-07
U-239;23.45;m;beta-;Np-239;1
U-240;14.1;h;beta-;Np-240m;1
U-242;16.8;m;beta-;Np-242;1
V-47;32.6;m;beta+/EC;Ti-47;1
V-48;15.9735;d;beta+/EC;Ti-48;1
V-49;330;d;beta+/EC;Ti-49;1
V-50;1.5e+17;y;beta+/EC;Ti-50;0.83
V-50;1.5e+17;y;beta-;Cr-50;0.17
V-51;stable;;stable;;
V-52;3.743;m;beta-;Cr-52;1
V-53;1.61;m;beta-;Cr-53;1
W-177;132;m;beta+/EC;Ta-177;1
W-178;21.6;d;beta+/EC;Ta-178;1
W-179;37.05;m;beta+/EC;Ta-179;1
W-179m;6.4;m;IT;W-179;0.9972
W-179m;6.4;m;beta+/EC;Ta-179;0.0028
W-180;stable;;stable;;
W-181;121.2;d;beta+/EC;Ta-181;1
W-182;stable;;stable;;
W-183;stable;;stable;;
W-184;stable;;stable;;
W-185;75.1;d;beta-;Re-185;1
W-185m;1.597;m;IT;W-185;1
W-186;stable;;stable;;
W-187;23.72;h;beta-;Re-187;1
W-188;69.78;d;beta-;Re-188;1
W-190;30;m;beta-;Re-190;1
Xe-120;40;m;beta+/EC;I-120;1
Xe-121;40.1;m;beta+/EC;I-121;1
Xe-122;20.1;h;beta+/EC;I-122;1
Xe-123;2.08;h;beta+/EC;I-123;1
Xe-124;stable;;stable;;
Xe-125;16.9;h;beta+/EC;I-125;1
Xe-126;stable;;stable;;
Xe-127;36.4;d;beta+/EC;I-127;1
Xe-127m;69.2;s;IT;Xe-127;1
Xe-128;stable;;stable;;
Xe-129;stable;;stable;;
Xe-129m;8.88;d;IT;Xe-129;1
Xe-130;stable;;stable;;
Xe-131;stable;;stable;;
Xe-131m;11.84;d;IT;Xe-131;1
Xe-132;stable;;stable;;
Xe-133;5.243;d;beta-;Cs-133;1
Xe-133m;2.19;d;IT;Xe-133;1
Xe-134;stable;;stable;;
Xe-135;9.14;h;beta-;Cs-135;1
Xe-135m;15.29;m;IT;Xe-135;0.994
Xe-135m;15.29;m;beta-;Cs-135;0.006
Xe-137;3.818;m;beta-;Cs-137;1
Xe-138;14.08;m;beta-;Cs-138;1
Y-81;70.4;s;beta+/EC;Sr-81;1
Y-83;7.08;m;beta+/EC;Sr-83;1
Y-83m;2.85;m;beta+/EC;Sr-83;0.6
Y-83m;2.85;m;IT;Y-83;0.4
Y-84m;39.5;m;beta+/EC;Sr-84;1
Y-85;2.68;h;beta+/EC;Sr-85m;1
Y-85m;4.86;h;beta+/EC;Sr-85;0.96
Y-85m;4.86;h;beta+/EC;Sr-85m;0.039998
Y-86;14.74;h;beta+/EC;Sr-86;1
Y-86m;48;m;IT;Y-86;0.9931
Y-86m;48;m;beta+/EC;Sr-86;0.0069
Y-87;79.8;h;beta+/EC;Sr-87m;1
Y-87m;13.37;h;IT;Y-87;0.9843
Y-87m;13.37;h;beta+/EC;Sr-87;0.0157
Y-88;106.65;d;beta+/EC;Sr-88;1
Y-89;stable;;stable;;
Y-89m;15.663;s;IT;Y-89;1
Y-90;64.1;h;beta-;Zr-90;1
Y-90m;3.19;h;IT;Y-90;0.99998
Y-90m;3.19;h;beta-;Zr-90;1.8e-05
Y-91;58.51;d;beta-;Zr-91;1
Y-91m;49.71;m;IT;Y-91;1
Y-92;3.54;h;beta-;Zr-92;1
Y-93;10.18;h;beta-;Zr-93;1
Y-94;18.7;m;beta-;Zr-94;1
Y-95;10.3;m;beta-;Zr-95;1
Yb-162;18.87;m;beta+/EC;Tm-162;1
Yb-163;11.05;m;beta+/EC;Tm-163;1
Yb-164;75.8;m;beta+/EC;Tm-164;1
Yb-165;9.9;m;beta+/EC;Tm-165;1
Yb-166;56.7;h;beta+/EC;Tm-166;1
Yb-167;17.5;m;beta+/EC;Tm-167;1
Yb-168;stable;;stable;;
Yb-169;32.026;d;beta+/EC;Tm-169;1
Yb-170;stable;;stable;;
Yb-171;stable;;stable;;
Yb-172;stable;;stable;;
Yb-173;stable;;stable;;
Yb-174;stable;;stable;;
Yb-175;4.185;d;beta-;Lu-175;1
Yb-176;stable;;stable;;
Yb-177;1.911;h;beta-;Lu-177;1
Yb-178;74;m;beta-;Lu-178;1
Yb-179;8;m;beta-;Lu-179;1
Zn-60;2.38;m;beta+/EC;Cu-60;1
Zn-61;89.1;s;beta+/EC;Cu-61;1
Zn-62;9.186;h;beta+/EC;Cu-62;1
Zn-63;38.47;m;beta+/EC;Cu-63;1
Zn-64;stable;;stable;;
Zn-65;244.06;d;beta+/EC;Cu-65;1
Zn-66;stable;;stable;;
Zn-67;stable;;stable;;
Zn-68;stable;;stable;;
Zn-69;56.4;m;beta-;Ga-69;1
Zn-69m;13.76;h;IT;Zn-69;0.99967
Zn-69m;13.76;h;beta-;Ga-69;0.00033
Zn-70;stable;;stable;;
Zn-71;2.45;m;beta-;Ga-71;1
Zn-71m;3.96;h;beta-;Ga-71;1
Zn-72;46.5;h;beta-;Ga-72;1
Zr-85;7.86;m;beta+/EC;Y-85m;0.96841
Zr-85;7.86;m;beta+/EC;Y-85;0.031588
Zr-86;16.5;h;beta+/EC;Y-86;1
Zr-87;1.68;h;beta+/EC;Y-87m;0.99704
Zr-87;1.68;h;beta+/EC;Y-87;0.0029636
Zr-88;83.4;d;beta+/EC;Y-88;1
Zr-89;78.41;h;beta+/EC;Y-89;1
Zr-89m;4.161;m;IT;Zr-89;0.9377
Zr-89m;4.161;m;beta+/EC;Y-89;0.0623
Zr-90;stable;;stable;;
Zr-91;stable;;stable;;
Zr-92;stable;;stable;;
Zr-93;1530000;y;beta-;Nb-93m;0.975
Zr-93;1530000;y;beta-;Nb-93;0.025
Zr-94;stable;;stable;;
Zr-95;64.032;d;beta-;Nb-95;0.9892
Zr-95;64.032;d;beta-;Nb-95m;0.010802
Zr-97;16.744;h;beta-;Nb-97;1
