# decaysolver — bibliothèque de nucléides
# source: ICRP Publication 107, Nuclear Decay Data for Dosimetric Calculations (2008),
#         Copyright (c) 2008 A. Endo and K.F. Eckerman ; licence : data/LICENSE.ICRP-07
# extraction: paquet radioactivedecay 0.6.1, jeu 'icrp107_ame2020_nubase2020'
# script: data/scripts/extract_icrp107.py ; date UTC: 2026-09-05
# contenu: bibliothèque complète, 1512 nucléides du jeu ICRP-107 redistribué
#          (--full)
# demi-vies: valeur et unité d'origine ICRP-107 (s, m, h, d, y) ; aucune conversion ici.
#            decaysolver convertit avec 1 y = 365,25 j (année julienne) ;
#            radioactivedecay utilise 365,2422 j : écart relatif 2e-5, à garder en tête
#            lors de l'évaluation croisée.
# incertitudes: ICRP-107 n'en fournit pas ; voir data/PROVENANCE.md.
# fission spontanée (SF): voie conservée avec fille vide, produits de fission non suivis.
# voies rétablies (absentes du jeu radioactivedecay, voir le script) : At-219 β- vers Rn-219, At-217 β- vers Rn-217
# écarts |somme des rapports - 1| > 1e-5, dus aux arrondis indépendants d'ICRP-107 :
#     Am-244m: -4.0e-04
#     Np-236: -4.0e-04
#     Tb-151: +9.5e-05
#     Dy-153: +9.4e-05
#     Ac-226: +6.0e-05
#     Fr-223: +6.0e-05
#     Es-255: +4.5e-05
#     Pu-237: +4.2e-05
#     U-231: +4.0e-05
#     Pa-230: +3.2e-05
#     Ag-115: -3.0e-05
#     Au-187: +3.0e-05
#     Pa-232: +3.0e-05
#     Hf-182m: -2.0e-05
#     Pt-184: +1.7e-05
#     Bk-249: +1.5e-05
#     Ho-154m: +1.0e-05
#     Np-233: +1.0e-05
# voies non répertoriées (déficit de somme > 5e-4 dans le jeu redistribué, fille
#   inconnue, noyaux sortant du système) : 
#     U-228: 2.5e-02
#     Es-254m: 1.6e-02
#     Es-250: 1.5e-02
#     Ac-223: 1.0e-02
#     Cm-240: 3.0e-03
#     Po-212m: 7.0e-04
#     Po-205: 6.0e-04
# une ligne par voie de décroissance ; les stables ont une seule ligne 'stable'.
nuclide;half_life_value;half_life_unit;mode;daughter;branching_fraction
Cd-103;7.3;m;beta+/EC;Ag-103;1
Cd-104;57.7;m;beta+/EC;Ag-104m;1
Cd-105;55.5;m;beta+/EC;Ag-105m;0.82963
Cd-105;55.5;m;beta+/EC;Ag-105;0.17037
Cd-106;stable;;stable;;
Cd-107;6.5;h;beta+/EC;Ag-107;1
Cd-108;stable;;stable;;
Cd-109;461.4;d;beta+/EC;Ag-109;1
Cd-110;stable;;stable;;
Cd-111;stable;;stable;;
Cd-111m;48.5;m;IT;Cd-111;1
Cd-112;stable;;stable;;
Cd-113;7.7e+15;y;beta-;In-113;1
Cd-113m;14.1;y;beta-;In-113;0.9986
Cd-113m;14.1;y;IT;Cd-113;0.0014
Cd-114;stable;;stable;;
Cd-115;53.46;h;beta-;In-115m;1
Cd-115m;44.6;d;beta-;In-115;0.99989
Cd-115m;44.6;d;beta-;In-115m;0.00010578
Cd-116;stable;;stable;;
Cd-117;2.49;h;beta-;In-117m;0.91507
Cd-117;2.49;h;beta-;In-117;0.084933
Cd-117m;3.36;h;beta-;In-117;0.99002
Cd-117m;3.36;h;beta-;In-117m;0.0099831
Cd-118;50.3;m;beta-;In-118;1
Cd-119;2.69;m;beta-;In-119m;0.90091
Cd-119;2.69;m;beta-;In-119;0.099092
Cd-119m;2.2;m;beta-;In-119;0.99787
Cd-119m;2.2;m;beta-;In-119m;0.0021328
Ce-130;22.9;m;beta+/EC;La-130;1
Ce-131;10.2;m;beta+/EC;La-131;1
Ce-132;3.51;h;beta+/EC;La-132;1
Ce-133;97;m;beta+/EC;La-133;1
Ce-133m;4.9;h;beta+/EC;La-133;1
Ce-134;3.16;d;beta+/EC;La-134;1
Ce-135;17.7;h;beta+/EC;La-135;1
Ce-136;stable;;stable;;
Ce-137;9;h;beta+/EC;La-137;1
Ce-137m;34.4;h;IT;Ce-137;0.9922
Ce-137m;34.4;h;beta+/EC;La-137;0.0078
Ce-138;stable;;stable;;
Ce-139;137.641;d;beta+/EC;La-139;1
Ce-140;stable;;stable;;
Ce-141;32.508;d;beta-;Pr-141;1
Ce-142;stable;;stable;;
Ce-143;33.039;h;beta-;Pr-143;1
Ce-144;284.91;d;beta-;Pr-144;0.99023
Ce-144;284.91;d;beta-;Pr-144m;0.0097699
Ce-145;3.01;m;beta-;Pr-145;1
Cf-244;19.4;m;alpha;Cm-240;1
Cf-246;35.7;h;alpha;Cm-242;1
Cf-246;35.7;h;SF;;2.5e-06
Cf-247;3.11;h;beta+/EC;Bk-247;0.99965
Cf-247;3.11;h;alpha;Cm-243;0.00035
Cf-248;334;d;alpha;Cm-244;0.99997
Cf-248;334;d;SF;;2.9e-05
Cf-249;351;y;alpha;Cm-245;1
Cf-249;351;y;SF;;5.02e-09
Cf-250;13.08;y;alpha;Cm-246;0.99923
Cf-250;13.08;y;SF;;0.00077
Cf-251;900;y;alpha;Cm-247;1
Cf-252;2.645;y;alpha;Cm-248;0.96908
Cf-252;2.645;y;SF;;0.03092
Cf-253;17.81;d;beta-;Es-253;0.9969
Cf-253;17.81;d;alpha;Cm-249;0.0031
Cf-254;60.5;d;SF;;0.9969
Cf-254;60.5;d;alpha;Cm-250;0.0031
Cf-255;85;m;beta-;Es-255;1
Cl-34;1.5264;s;beta+/EC;S-34;1
Cl-34m;32;m;beta+/EC;S-34;0.554
Cl-34m;32;m;IT;Cl-34;0.446
Cl-35;stable;;stable;;
Cl-36;301000;y;beta-;Ar-36;0.981
Cl-36;301000;y;beta+/EC;S-36;0.019
Cl-37;stable;;stable;;
Cl-38;37.24;m;beta-;Ar-38;1
Cl-39;55.6;m;beta-;Ar-39;1
Cl-40;1.35;m;beta-;Ar-40;1
Cm-238;2.4;h;beta+/EC;Am-238;0.9616
Cm-238;2.4;h;alpha;Pu-234;0.0384
Cm-239;2.9;h;beta+/EC;Am-239;1
Cm-240;27;d;alpha;Pu-236;0.997
Cm-240;27;d;SF;;3.9e-08
Cm-240;27;d;unlisted;;0.002999961
Cm-241;32.8;d;beta+/EC;Am-241;0.99
Cm-241;32.8;d;alpha;Pu-237;0.01
Cm-242;162.8;d;alpha;Pu-238;1
Cm-242;162.8;d;SF;;6.37e-08
Cm-243;29.1;y;alpha;Pu-239;0.9976
Cm-243;29.1;y;beta+/EC;Am-243;0.0024
Cm-244;18.1;y;alpha;Pu-240;1
Cm-244;18.1;y;SF;;1.371e-06
Cm-245;8500;y;alpha;Pu-241;1
Cm-245;8500;y;SF;;6.1e-09
Cm-246;4760;y;alpha;Pu-242;0.99974
Cm-246;4760;y;SF;;0.000263
Cm-247;15600000;y;alpha;Pu-243;1
Cm-248;348000;y;alpha;Pu-244;0.9161
Cm-248;348000;y;SF;;0.0839
Cm-249;64.15;m;beta-;Bk-249;1
Cm-250;8300;y;SF;;0.74
Cm-250;8300;y;alpha;Pu-246;0.18
Cm-250;8300;y;beta-;Bk-250;0.08
Cm-251;16.8;m;beta-;Bk-251;1
Co-54m;1.48;m;beta+/EC;Fe-54;1
Co-55;17.53;h;beta+/EC;Fe-55;1
Co-56;77.23;d;beta+/EC;Fe-56;1
Co-57;271.74;d;beta+/EC;Fe-57;1
Co-58;70.86;d;beta+/EC;Fe-58;1
Co-58m;9.04;h;IT;Co-58;1
Co-59;stable;;stable;;
Co-60;5.2713;y;beta-;Ni-60;1
Co-60m;10.467;m;IT;Co-60;0.9976
Co-60m;10.467;m;beta-;Ni-60;0.0024
Co-61;1.65;h;beta-;Ni-61;1
Co-62;1.5;m;beta-;Ni-62;1
Co-62m;13.91;m;beta-;Ni-62;1
Cr-48;21.56;h;beta+/EC;V-48;1
Cr-49;42.3;m;beta+/EC;V-49;1
Cr-50;stable;;stable;;
Cr-51;27.7025;d;beta+/EC;V-51;1
Cr-52;stable;;stable;;
Cr-53;stable;;stable;;
Cr-54;stable;;stable;;
Cr-55;3.497;m;beta-;Mn-55;1
Cr-56;5.94;m;beta-;Mn-56;1
Cs-121;155;s;beta+/EC;Xe-121;1
Cs-121m;122;s;beta+/EC;Xe-121;0.83
Cs-121m;122;s;IT;Cs-121;0.17
Cs-123;5.88;m;beta+/EC;Xe-123;1
Cs-124;30.8;s;beta+/EC;Xe-124;1
Cs-125;45;m;beta+/EC;Xe-125;1
Cs-126;1.64;m;beta+/EC;Xe-126;1
Cs-127;6.25;h;beta+/EC;Xe-127;1
Cs-128;3.64;m;beta+/EC;Xe-128;1
Cs-129;32.06;h;beta+/EC;Xe-129;1
Cs-130;29.21;m;beta+/EC;Xe-130;0.984
Cs-130;29.21;m;beta-;Ba-130;0.016
Cs-130m;3.46;m;IT;Cs-130;0.9984
Cs-130m;3.46;m;beta+/EC;Xe-130;0.0016
Cs-131;9.689;d;beta+/EC;Xe-131;1
Cs-132;6.479;d;beta+/EC;Xe-132;0.9813
